Red: Red de Vigilancia y Control de la Contaminaci�n Atmosf�rica,,,,,,,
Estaci�n: 46250046-Val�ncia - Polit�cnic,,,,,,,

FECHA,PM2.5,SO2,NO,NO2,PM10,NOx,O3
,�g/m�,�g/m�,�g/m�,�g/m�,�g/m�,�g/m�,�g/m�
01/01/2022,28,4,14,18,30,39,20
02/01/2022,25,3,20,26,27,57,14
03/01/2022,31,3,33,37,35,86,14
04/01/2022,6,3,4,15,13,20,40
05/01/2022,5,3,4,16,12,23,53
06/01/2022,5,3,2,16,8,18,50
07/01/2022,5,3,5,14,10,21,48
08/01/2022,4,3,2,9,7,11,49
09/01/2022,4,3,1,2,8,3,53
10/01/2022,3,3,1,4,7,5,50
11/01/2022,6,3,4,22,8,27,48
12/01/2022,6,3,14,16,9,37,41
13/01/2022,8,3,7,20,11,30,39
14/01/2022,11,3,6,30,15,39,28
15/01/2022,11,3,2,24,12,27,38
16/01/2022,11,3,2,17,12,20,43
17/01/2022,13,4,21,43,19,74,30
18/01/2022,15,5,16,40,21,63,33
19/01/2022,16,3,19,50,23,79,28
20/01/2022,17,3,18,43,21,70,26
21/01/2022,9,3,7,19,12,29,39
22/01/2022,10,3,2,17,11,19,41
23/01/2022,13,4,1,13,14,14,35
26/01/2022,11,3,15,35,13,58,33
27/01/2022,12,3,27,49,17,90,19
28/01/2022,10,3,23,57,18,92,22
29/01/2022,11,3,8,35,15,48,33
30/01/2022,12,4,10,39,15,53,31
31/01/2022,7,3,9,35,15,48,36
01/02/2022,7,3,21,53,16,85,35
02/02/2022,11,5,15,45,16,67,26
03/02/2022,15,4,26,48,21,88,19
04/02/2022,27,3,15,32,30,53,29
05/02/2022,25,3,9,36,27,48,23
06/02/2022,14,3,7,17,15,27,35
07/02/2022,12,3,12,38,16,57,28
08/02/2022,11,3,15,32,15,54,34
09/02/2022,12,3,4,21,16,26,45
10/02/2022,11,3,8,31,15,42,43
11/02/2022,16,3,17,42,20,67,29
12/02/2022,16,3,8,34,18,45,40
13/02/2022,16,3,2,26,19,29,39
14/02/2022,4,3,1,8,6,9,60
15/02/2022,2,3,1,10,5,11,56
16/02/2022,4,3,2,14,8,17,49
17/02/2022,6,3,4,24,9,31,41
18/02/2022,11,4,17,33,16,58,39
19/02/2022,7,4,1,6,9,7,59
20/02/2022,5,3,2,15,6,17,47
21/02/2022,5,3,8,16,10,28,47
22/02/2022,6,3,22,37,11,70,38
23/02/2022,8,3,9,26,11,39,36
24/02/2022,8,5,10,22,10,36,44
25/02/2022,8,4,1,15,9,16,42
26/02/2022,6,4,1,10,6,11,48
27/02/2022,5,5,2,12,6,14,51
28/02/2022,7,4,3,27,8,31,45
01/03/2022,10,3,9,24,12,37,42
02/03/2022,13,3,10,26,18,41,43
03/03/2022,13,4,4,16,15,22,46
04/03/2022,7,3,1,16,8,17,53
05/03/2022,3,3,1,8,5,9,55
06/03/2022,4,3,1,1,5,2,62
07/03/2022,6,3,1,15,6,16,47
08/03/2022,9,3,10,27,11,41,33
09/03/2022,9,3,5,14,11,21,44
10/03/2022,9,3,6,14,11,23,58
11/03/2022,14,3,4,31,15,35,46
12/03/2022,4,3,1,6,5,7,62
13/03/2022,6,4,1,14,8,15,50
14/03/2022,7,3,1,2,8,3,77
15/03/2022,10,3,1,1,11,2,82
16/03/2022,7,4,1,1,8,2,80
17/03/2022,7,4,1,1,8,2,72
18/03/2022,10,3,1,2,12,3,62
19/03/2022,14,3,1,1,15,2,73
20/03/2022,9,3,1,1,10,2,79
21/03/2022,5,3,1,1,6,2,84
22/03/2022,7,3,1,1,8,2,91
23/03/2022,7,3,2,5,7,7,93
24/03/2022,11,3,1,6,11,8,81
25/03/2022,18,4,1,6,19,8,92
26/03/2022,16,3,2,6,18,8,92
27/03/2022,16,3,2,8,18,10,84
28/03/2022,20,3,5,17,23,25,66
29/03/2022,23,3,8,18,29,30,57
30/03/2022,19,4,8,27,25,39,49
31/03/2022,6,3,3,14,9,17,63
01/04/2022,4,3,2,6,7,9,77
02/04/2022,3,4,2,6,5,8,81
03/04/2022,3,3,2,7,4,9,80
04/04/2022,8,3,1,7,10,9,76
05/04/2022,9,3,2,9,10,11,80
06/04/2022,7,3,4,17,9,22,63
07/04/2022,6,3,2,9,9,12,63
08/04/2022,5,3,3,10,8,14,55
09/04/2022,6,3,2,6,7,9,63
10/04/2022,7,3,2,8,8,10,61
11/04/2022,11,3,2,10,12,13,61
12/04/2022,,3,3,15,,19,63
13/04/2022,,3,2,10,,13,58
14/04/2022,,4,1,8,,10,80
15/04/2022,,3,1,16,,18,71
16/04/2022,,4,2,17,,19,61
17/04/2022,,3,4,17,,22,65
18/04/2022,,3,2,10,,12,74
19/04/2022,,4,2,7,,10,84
22/04/2022,,3,3,19,,23,50
23/04/2022,,3,1,2,,3,75
24/04/2022,,3,1,4,,5,73
25/04/2022,,3,1,7,,8,62
26/04/2022,,3,5,13,,21,62
27/04/2022,,3,5,32,,39,32
28/04/2022,,3,2,14,,17,53
29/04/2022,,4,6,20,,29,57
30/04/2022,,3,1,9,,11,70
01/05/2022,,3,1,5,,7,67
02/05/2022,,4,1,7,,9,72
03/05/2022,,4,1,7,,8,73
05/05/2022,10,3,2,13,11,16,56
06/05/2022,10,5,4,24,11,31,47
07/05/2022,9,4,3,20,10,25,52
08/05/2022,10,3,1,5,11,6,71
09/05/2022,13,3,2,10,14,12,67
10/05/2022,10,3,3,17,11,22,65
11/05/2022,11,3,4,18,12,25,55
12/05/2022,10,3,1,7,11,9,65
13/05/2022,12,3,3,9,13,12,54
14/05/2022,13,4,1,9,14,11,57
15/05/2022,9,3,2,7,10,9,74
16/05/2022,13,3,2,14,14,17,58
17/05/2022,14,3,6,16,15,25,53
18/05/2022,16,3,1,6,17,7,60
19/05/2022,14,4,2,6,15,8,55
20/05/2022,9,4,2,8,10,10,69
21/05/2022,9,3,1,10,10,12,62
22/05/2022,9,3,2,13,10,16,67
23/05/2022,7,5,1,8,8,10,69
24/05/2022,6,4,1,6,7,8,63
25/05/2022,3,4,1,6,4,8,66
26/05/2022,6,3,4,14,10,21,55
27/05/2022,10,4,4,18,16,24,55
28/05/2022,12,4,1,10,24,12,72
29/05/2022,11,4,1,6,16,8,76
30/05/2022,13,3,1,5,17,7,72
31/05/2022,17,3,1,6,21,8,62
01/06/2022,23,3,1,4,27,6,65
02/06/2022,25,3,1,4,29,6,56
03/06/2022,21,3,1,3,26,5,65
04/06/2022,21,3,1,6,26,7,54
05/06/2022,15,3,1,5,20,7,62
06/06/2022,13,3,2,7,17,10,60
07/06/2022,18,3,1,8,22,10,56
08/06/2022,23,3,2,8,28,11,65
09/06/2022,14,4,1,7,19,10,55
10/06/2022,13,4,1,4,17,6,49
11/06/2022,13,3,1,7,18,9,53
12/06/2022,8,3,1,10,13,12,65
13/06/2022,8,3,2,14,15,18,59
14/06/2022,11,3,1,8,17,10,57
15/06/2022,10,3,1,7,13,9,70
16/06/2022,13,3,2,11,19,15,66
17/06/2022,13,3,3,20,26,25,59
18/06/2022,15,4,1,11,25,13,85
19/06/2022,16,4,1,4,21,6,86
20/06/2022,19,3,1,4,26,6,77
21/06/2022,18,3,1,7,25,9,58
22/06/2022,13,3,1,8,22,10,63
23/06/2022,10,3,1,11,20,14,69
24/06/2022,7,3,1,7,12,9,74
25/06/2022,10,3,1,4,15,6,80
26/06/2022,12,3,1,3,15,5,77
27/06/2022,12,4,1,3,18,5,61
28/06/2022,10,3,1,5,15,8,58
29/06/2022,13,3,1,6,17,8,60
30/06/2022,10,3,1,4,14,7,71
01/07/2022,12,5,1,4,17,6,61
02/07/2022,10,4,1,3,14,5,62
03/07/2022,10,3,1,5,14,7,71
04/07/2022,10,3,2,8,15,11,69
05/07/2022,12,3,1,4,16,6,78
06/07/2022,14,3,1,4,20,7,79
07/07/2022,10,4,2,17,14,21,64
08/07/2022,13,3,1,8,18,11,87
09/07/2022,12,3,1,9,16,11,87
10/07/2022,9,3,1,4,13,6,92
11/07/2022,11,4,1,7,17,9,89
12/07/2022,10,3,2,12,17,15,75
13/07/2022,13,3,2,14,23,18,72
14/07/2022,11,3,2,10,17,13,70
15/07/2022,11,3,2,12,17,16,60
16/07/2022,13,3,1,12,22,14,76
17/07/2022,14,5,1,6,18,8,87
18/07/2022,15,4,2,11,20,14,
19/07/2022,17,3,2,10,26,13,78
20/07/2022,12,3,1,5,16,7,74
21/07/2022,12,3,2,5,15,8,65
22/07/2022,15,3,1,7,20,10,68
23/07/2022,16,3,1,3,21,5,77
24/07/2022,17,3,1,5,20,7,76
25/07/2022,17,3,1,7,23,10,64
26/07/2022,14,3,1,4,19,6,74
27/07/2022,13,3,1,3,17,5,72
28/07/2022,16,3,2,7,22,11,66
29/07/2022,14,3,1,3,19,5,77
30/07/2022,11,3,1,3,15,5,72
31/07/2022,10,3,1,3,13,5,
01/08/2022,11,3,2,9,16,12,76
02/08/2022,11,3,1,7,16,9,86
03/08/2022,10,3,2,6,15,9,90
04/08/2022,9,3,2,5,14,8,83
05/08/2022,8,3,2,7,12,9,76
06/08/2022,9,3,2,5,13,8,80
07/08/2022,10,3,2,4,13,7,74
08/08/2022,10,4,2,5,14,8,82
09/08/2022,11,3,2,5,15,8,83
10/08/2022,10,3,2,5,14,8,84
11/08/2022,11,3,2,8,16,11,78
12/08/2022,13,3,2,10,20,12,76
13/08/2022,17,3,2,5,47,8,87
14/08/2022,13,3,1,11,19,14,67
15/08/2022,15,4,1,4,20,7,75
16/08/2022,20,3,2,6,26,9,84
17/08/2022,23,3,1,7,32,10,86
18/08/2022,20,3,3,11,25,16,82
19/08/2022,13,3,2,8,19,11,70
20/08/2022,10,3,2,8,12,11,62
21/08/2022,10,3,1,6,14,8,69
22/08/2022,8,4,1,5,11,7,63
23/08/2022,8,5,2,5,11,8,46
24/08/2022,8,4,1,4,11,6,49
25/08/2022,8,3,2,5,10,9,48
26/08/2022,8,3,2,5,11,8,56
27/08/2022,7,3,1,6,9,9,71
28/08/2022,8,3,1,4,10,6,70
29/08/2022,9,3,1,7,13,9,62
30/08/2022,11,3,1,6,15,8,59
31/08/2022,15,3,1,9,23,11,61
01/09/2022,13,3,1,6,18,8,58
02/09/2022,14,3,2,12,23,15,61
03/09/2022,13,3,2,9,18,12,61
04/09/2022,10,3,2,4,13,6,65
05/09/2022,10,4,3,5,14,9,57
06/09/2022,12,4,2,10,21,13,66
07/09/2022,10,3,3,14,20,19,64
08/09/2022,9,3,4,12,20,18,67
09/09/2022,9,3,2,9,16,12,69
13/09/2022,11,3,2,11,14,14,27
14/09/2022,10,3,5,10,14,17,38
15/09/2022,8,3,3,9,14,13,64
16/09/2022,7,3,4,8,10,13,59
17/09/2022,10,3,2,5,13,8,61
18/09/2022,11,3,2,5,14,8,60
19/09/2022,9,3,4,8,13,14,59
20/09/2022,11,3,5,10,14,17,57
21/09/2022,10,3,3,11,14,16,56
22/09/2022,11,4,2,7,13,10,64
23/09/2022,11,6,4,10,15,16,63
24/09/2022,13,4,2,6,16,9,73
25/09/2022,8,3,2,6,12,9,71
26/09/2022,7,3,3,8,10,13,54
27/09/2022,6,3,3,11,9,14,53
28/09/2022,6,3,3,12,12,16,51
29/09/2022,6,3,2,7,10,11,57
30/09/2022,6,3,2,11,10,15,63
01/10/2022,6,3,2,10,9,14,61
02/10/2022,6,4,2,7,8,10,63
03/10/2022,9,3,6,18,18,26,47
04/10/2022,10,3,7,11,13,22,51
05/10/2022,9,4,2,8,12,12,58
06/10/2022,9,4,2,7,13,11,62
07/10/2022,9,3,2,6,11,9,66
08/10/2022,12,3,2,5,15,8,64
09/10/2022,11,4,2,6,14,9,65
10/10/2022,14,3,6,11,17,20,50
11/10/2022,11,3,2,5,13,9,55
12/10/2022,14,3,2,5,16,9,57
13/10/2022,14,4,3,13,18,18,47
14/10/2022,14,4,5,19,19,28,44
15/10/2022,17,3,3,10,21,14,57
16/10/2022,18,3,2,7,21,11,56
17/10/2022,17,3,5,11,21,19,52
18/10/2022,22,3,6,12,30,21,42
19/10/2022,27,4,6,10,36,20,43
20/10/2022,29,4,3,12,38,17,38
21/10/2022,15,3,2,8,21,12,37
22/10/2022,12,3,7,15,17,26,30
23/10/2022,23,3,3,14,29,18,26
24/10/2022,14,3,13,25,23,45,22
25/10/2022,,3,,,,,
26/10/2022,,4,,,,,
27/10/2022,25,4,,,31,,
28/10/2022,22,5,,,28,,
29/10/2022,21,5,,,25,,
30/10/2022,18,5,,,21,,
31/10/2022,18,4,,,23,,
01/11/2022,16,3,,,20,,
02/11/2022,15,4,,,18,,
03/11/2022,13,3,,,20,,
04/11/2022,5,5,1,8,9,9,
05/11/2022,5,4,1,10,9,11,
06/11/2022,7,3,2,10,13,12,
07/11/2022,9,3,2,13,16,16,
08/11/2022,12,4,2,12,20,15,
09/11/2022,7,3,2,11,13,14,
10/11/2022,5,4,2,8,8,10,46
11/11/2022,7,5,2,10,9,12,37
12/11/2022,12,4,1,7,15,8,56
13/11/2022,11,5,2,11,13,12,34
14/11/2022,11,4,3,11,15,15,31
15/11/2022,6,4,1,9,9,10,40
16/11/2022,4,5,1,7,6,8,46
17/11/2022,4,4,1,7,6,8,43
18/11/2022,5,4,1,8,7,9,43
19/11/2022,4,4,1,7,5,8,49
20/11/2022,4,5,1,7,5,7,50
21/11/2022,4,4,1,7,7,8,47
22/11/2022,4,3,1,7,6,8,52
23/11/2022,4,3,1,7,6,7,43
24/11/2022,6,3,2,10,8,12,38
25/11/2022,5,4,1,8,8,8,44
26/11/2022,8,4,2,13,11,15,34
27/11/2022,12,4,1,12,15,13,31
28/11/2022,7,3,1,8,10,9,44
29/11/2022,5,4,1,9,8,10,46
30/11/2022,8,3,3,14,13,19,31
01/12/2022,9,3,,,11,,45
02/12/2022,10,3,,,13,,46
03/12/2022,12,3,,,13,,38
04/12/2022,13,3,,,15,,38
05/12/2022,15,4,,,18,,36
06/12/2022,20,3,,,23,,35
07/12/2022,28,4,,,30,,31
08/12/2022,34,3,,,36,,22
09/12/2022,8,4,,,9,,35
10/12/2022,4,4,,,6,,44
11/12/2022,8,5,,,9,,43
12/12/2022,15,5,,,18,,27
13/12/2022,5,3,,,6,,36
14/12/2022,7,3,,,10,,35
15/12/2022,5,3,,,7,,45
16/12/2022,6,4,,,8,,41
17/12/2022,12,4,,,15,,23
18/12/2022,14,5,,,15,,25
19/12/2022,17,4,,,20,,27
20/12/2022,15,3,,,23,,23
21/12/2022,6,4,,,9,,42
22/12/2022,6,3,,,9,,28
23/12/2022,6,3,,,8,,27
24/12/2022,12,3,,,13,,27
25/12/2022,9,4,,,12,,27
26/12/2022,16,4,,,22,,14
27/12/2022,15,5,,,21,,20
28/12/2022,22,5,,,29,,17
29/12/2022,10,4,,,15,,32
30/12/2022,8,3,,,13,,37
31/12/2022,12,3,,,16,,27
