Red: Red de Vigilancia y Control de la Contaminaci�n Atmosf�rica,,,,,,,,,,,
Estaci�n: 46250043-Val�ncia - Vivers,,,,,,,,,,,

FECHA,Cd,PM2.5,SO2,NO,NO2,PM10,Ni,NOx,O3,As,Pb
,ng/m�N,�g/m�,�g/m�,�g/m�,�g/m�,�g/m�,ng/m�N,�g/m�,�g/m�,ng/m�N,�g/m�
01/01/2023,,15,4,5,17,23,,24,23,,
02/01/2023,,19,3,7,23,,,33,16,,
03/01/2023,,22,3,16,29,30,,53,12,,
04/01/2023,,17,4,14,27,,,49,11,,
05/01/2023,,17,4,11,24,23,,40,18,,
06/01/2023,,16,3,7,21,18,,31,19,,
07/01/2023,,14,3,4,15,15,,21,29,,
08/01/2023,,6,3,2,5,,,8,47,,
09/01/2023,,7,3,4,16,8,,22,36,,
10/01/2023,,12,3,8,25,,,36,23,,
11/01/2023,,12,3,8,23,,,35,15,,
12/01/2023,,11,3,5,24,,,32,21,,
13/01/2023,,19,4,26,33,28,,72,11,,
14/01/2023,,13,3,4,20,,,26,21,,
15/01/2023,,12,4,2,8,16,,11,35,,
16/01/2023,,12,4,2,7,,,11,,,
17/01/2023,,18,3,2,5,33,,8,,,
18/01/2023,,6,4,3,11,,,15,61,,
19/01/2023,,7,4,3,10,15,,14,56,,
20/01/2023,,10,4,6,20,,,30,47,,
21/01/2023,,11,4,5,11,18,,18,55,,
22/01/2023,,8,3,2,5,,,8,71,,
23/01/2023,,11,4,10,24,18,,40,39,,
24/01/2023,,12,3,3,16,,,22,41,,
25/01/2023,,19,3,11,24,24,,41,34,,
26/01/2023,,16,3,16,30,,,54,28,,
27/01/2023,,14,3,11,28,16,,45,33,,
28/01/2023,,12,3,3,16,,,20,50,,
29/01/2023,,9,3,2,11,9,,15,46,,
30/01/2023,,12,3,6,21,,,30,34,,
31/01/2023,,16,4,14,29,27,,50,28,,
01/02/2023,"0,11",18,3,8,29,26,"1,53",41,35,"0,28","0,01"
02/02/2023,,19,3,9,33,29,,47,28,,
03/02/2023,"0,11",20,3,14,35,31,"1,38",57,27,"0,28","0,01"
04/02/2023,,17,3,16,36,27,,61,33,,
05/02/2023,"0,07",14,3,5,23,21,"1,38",30,36,"0,28","0,01"
06/02/2023,,10,3,3,14,18,,18,45,,
07/02/2023,,10,3,2,15,,,18,52,,
08/02/2023,,4,4,2,10,,,13,57,,
09/02/2023,,6,3,2,9,,,12,69,,
10/02/2023,,13,4,14,27,20,,48,30,,
11/02/2023,,12,3,3,16,,,20,52,,
12/02/2023,,14,3,3,19,17,,23,51,,
13/02/2023,,14,3,7,28,,,39,37,,
14/02/2023,,13,3,5,17,14,,24,59,,
15/02/2023,,10,3,3,17,,,21,60,,
16/02/2023,,17,3,8,22,20,,35,43,,
17/02/2023,,20,4,8,32,,,44,33,,
18/02/2023,,19,3,8,26,23,,37,45,,
19/02/2023,,30,3,6,32,,,42,28,,
20/02/2023,,29,3,12,37,34,,55,27,,
21/02/2023,,26,4,18,42,,,70,19,,
22/02/2023,,29,4,10,25,35,,40,36,,
23/02/2023,,27,4,8,23,,,35,38,,
24/02/2023,,8,4,6,20,11,,29,43,,
25/02/2023,,10,3,3,15,,,19,50,,
26/02/2023,,10,3,2,7,18,,9,67,,
27/02/2023,,11,4,2,6,,,9,71,,
28/02/2023,,8,3,3,16,,,21,57,,
